,test_name,code_len,dumb_dyn_slice,dyn_slice,pruned_slice,dumb_dyn_slice_len,pruned_slice_len,dyn_slice_len,runtime_bare_test,runtime_tracing_augmented_test,runtime_dyn_slice,runtime_pruned_slice,perf_runtime_bare_test,perf_runtime_tracing_augmented_test,perf_runtime_dyn_slice,perf_runtime_pruned_slice,len_exec_trace,test_result,sliced_result_equal_to_bare,exception,stage,num_boolops_pruned_sliced,num_lines_with_boolops_pruned_sliced,num_boolops_dyn_sliced,num_lines_with_boolops_dyn_sliced,num_boolops,num_lines_with_boolops,benchmark,test_status
67,benchmark/quixbugs/correct_python_programs/hanoi.py#1:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'helper' is not defined"",)",run sliced,,,,,0,0,quixbugs,Other Exception
260,benchmark/quixbugs/python_programs/pascal.py#2:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,quixbugs,Not executable
261,benchmark/quixbugs/python_programs/pascal.py#3:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,quixbugs,Not executable
262,benchmark/quixbugs/python_programs/pascal.py#4:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,quixbugs,Not executable
279,benchmark/quixbugs/python_programs/kth.py#0:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,quixbugs,Not executable
280,benchmark/quixbugs/python_programs/kth.py#1:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,quixbugs,Not executable
284,benchmark/quixbugs/python_programs/kth.py#5:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,quixbugs,Not executable
285,benchmark/quixbugs/python_programs/kth.py#6:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,quixbugs,Not executable
287,benchmark/quixbugs/python_programs/possible_change.py#1:,,,,,,,,,,,,,,,,,,,"<class 'ValueError'>('not enough values to unpack (expected at least 1, got 0)',)",bare execution,,,,,0,0,quixbugs,Not executable
288,benchmark/quixbugs/python_programs/possible_change.py#2:,,,,,,,,,,,,,,,,,,,"<class 'ValueError'>('not enough values to unpack (expected at least 1, got 0)',)",bare execution,,,,,0,0,quixbugs,Not executable
289,benchmark/quixbugs/python_programs/possible_change.py#3:,,,,,,,,,,,,,,,,,,,"<class 'ValueError'>('not enough values to unpack (expected at least 1, got 0)',)",bare execution,,,,,0,0,quixbugs,Not executable
290,benchmark/quixbugs/python_programs/possible_change.py#4:,,,,,,,,,,,,,,,,,,,"<class 'ValueError'>('not enough values to unpack (expected at least 1, got 0)',)",bare execution,,,,,0,0,quixbugs,Not executable
291,benchmark/quixbugs/python_programs/possible_change.py#5:,,,,,,,,,,,,,,,,,,,"<class 'ValueError'>('not enough values to unpack (expected at least 1, got 0)',)",bare execution,,,,,0,0,quixbugs,Not executable
292,benchmark/quixbugs/python_programs/possible_change.py#6:,,,,,,,,,,,,,,,,,,,"<class 'ValueError'>('not enough values to unpack (expected at least 1, got 0)',)",bare execution,,,,,0,0,quixbugs,Not executable
293,benchmark/quixbugs/python_programs/possible_change.py#7:,,,,,,,,,,,,,,,,,,,"<class 'ValueError'>('not enough values to unpack (expected at least 1, got 0)',)",bare execution,,,,,0,0,quixbugs,Not executable
294,benchmark/quixbugs/python_programs/possible_change.py#8:,,,,,,,,,,,,,,,,,,,"<class 'ValueError'>('not enough values to unpack (expected at least 1, got 0)',)",bare execution,,,,,0,0,quixbugs,Not executable
295,benchmark/quixbugs/python_programs/possible_change.py#9:,,,,,,,,,,,,,,,,,,,"<class 'ValueError'>('not enough values to unpack (expected at least 1, got 0)',)",bare execution,,,,,0,0,quixbugs,Not executable
302,benchmark/quixbugs/python_programs/find_in_sorted.py#1:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded in comparison',)",bare execution,,,,,0,0,quixbugs,Not executable
307,benchmark/quixbugs/python_programs/find_in_sorted.py#6:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded in comparison',)",bare execution,,,,,0,0,quixbugs,Not executable
324,benchmark/quixbugs/python_programs/gcd.py#1:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded in comparison',)",bare execution,,,,,0,0,quixbugs,Not executable
325,benchmark/quixbugs/python_programs/gcd.py#2:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded in comparison',)",bare execution,,,,,0,0,quixbugs,Not executable
326,benchmark/quixbugs/python_programs/gcd.py#3:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded in comparison',)",bare execution,,,,,0,0,quixbugs,Not executable
327,benchmark/quixbugs/python_programs/gcd.py#4:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded in comparison',)",bare execution,,,,,0,0,quixbugs,Not executable
328,benchmark/quixbugs/python_programs/gcd.py#5:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded in comparison',)",bare execution,,,,,0,0,quixbugs,Not executable
330,benchmark/quixbugs/python_programs/mergesort.py#1:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
331,benchmark/quixbugs/python_programs/mergesort.py#2:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
332,benchmark/quixbugs/python_programs/mergesort.py#3:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
333,benchmark/quixbugs/python_programs/mergesort.py#4:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
334,benchmark/quixbugs/python_programs/mergesort.py#5:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
335,benchmark/quixbugs/python_programs/mergesort.py#6:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
336,benchmark/quixbugs/python_programs/mergesort.py#7:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
337,benchmark/quixbugs/python_programs/mergesort.py#8:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
338,benchmark/quixbugs/python_programs/mergesort.py#9:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
339,benchmark/quixbugs/python_programs/mergesort.py#10:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
340,benchmark/quixbugs/python_programs/mergesort.py#11:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
341,benchmark/quixbugs/python_programs/mergesort.py#12:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
342,benchmark/quixbugs/python_programs/mergesort.py#13:,,,,,,,,,,,,,,,,,,,"<class 'RecursionError'>('maximum recursion depth exceeded while calling a Python object',)",bare execution,,,,,2,2,quixbugs,Not executable
410,benchmark/quixbugs/python_programs/flatten.py#0:,,,,,,,,,,,,,,,,,,,"<class 'TypeError'>('Object of type generator is not JSON serializable',)",bare execution,,,,,0,0,quixbugs,Not executable
412,benchmark/quixbugs/python_programs/flatten.py#2:,,,,,,,,,,,,,,,,,,,"<class 'TypeError'>('Object of type generator is not JSON serializable',)",bare execution,,,,,0,0,quixbugs,Not executable
413,benchmark/quixbugs/python_programs/flatten.py#3:,,,,,,,,,,,,,,,,,,,"<class 'TypeError'>('Object of type generator is not JSON serializable',)",bare execution,,,,,0,0,quixbugs,Not executable
414,benchmark/quixbugs/python_programs/flatten.py#4:,,,,,,,,,,,,,,,,,,,"<class 'TypeError'>('Object of type generator is not JSON serializable',)",bare execution,,,,,0,0,quixbugs,Not executable
415,benchmark/quixbugs/python_programs/flatten.py#5:,,,,,,,,,,,,,,,,,,,"<class 'TypeError'>('Object of type generator is not JSON serializable',)",bare execution,,,,,0,0,quixbugs,Not executable
416,benchmark/quixbugs/python_programs/flatten.py#6:,,,,,,,,,,,,,,,,,,,"<class 'TypeError'>('Object of type generator is not JSON serializable',)",bare execution,,,,,0,0,quixbugs,Not executable
418,benchmark/quixbugs/python_programs/find_first_in_sorted.py#1:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,2,1,quixbugs,Not executable
506,benchmark/middle/faulty_versions/Middle_Fault10.py#0008:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'm' referenced before assignment"",)",bare execution,,,,,6,6,middle,Not executable
524,benchmark/middle/faulty_versions/Middle_Fault9.py#0012:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'm' referenced before assignment"",)",bare execution,,,,,7,7,middle,Not executable
541,benchmark/middle/faulty_versions/Middle_Fault5.py#0001:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'm' referenced before assignment"",)",bare execution,,,,,7,7,middle,Not executable
546,benchmark/middle/faulty_versions/Middle_Fault5.py#0006:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'm' referenced before assignment"",)",bare execution,,,,,7,7,middle,Not executable
570,benchmark/middle/faulty_versions/Middle_Fault2.py#0002:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'm' referenced before assignment"",)",bare execution,,,,,7,7,middle,Not executable
573,benchmark/middle/faulty_versions/Middle_Fault2.py#0005:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'm' referenced before assignment"",)",bare execution,,,,,7,7,middle,Not executable
583,benchmark/middle/faulty_versions/Middle_Fault6.py#0001:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'm' referenced before assignment"",)",bare execution,,,,,7,7,middle,Not executable
612,benchmark/middle/faulty_versions/Middle_Fault1.py#0002:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'm' referenced before assignment"",)",bare execution,,,,,6,6,middle,Not executable
615,benchmark/middle/faulty_versions/Middle_Fault1.py#0005:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'm' referenced before assignment"",)",bare execution,,,,,6,6,middle,Not executable
629,benchmark/middle/faulty_versions/Middle_Fault3.py#0005:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'm' referenced before assignment"",)",bare execution,,,,,7,7,middle,Not executable
4510,benchmark/refactory/data/question_1/code/fail/wrong_1_434.py#0:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'search' is not defined"",)",bare execution,,,,,0,0,refactory,Not executable
4511,benchmark/refactory/data/question_1/code/fail/wrong_1_434.py#1:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'search' is not defined"",)",bare execution,,,,,0,0,refactory,Not executable
4512,benchmark/refactory/data/question_1/code/fail/wrong_1_434.py#2:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'search' is not defined"",)",bare execution,,,,,0,0,refactory,Not executable
4513,benchmark/refactory/data/question_1/code/fail/wrong_1_434.py#3:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'search' is not defined"",)",bare execution,,,,,0,0,refactory,Not executable
4514,benchmark/refactory/data/question_1/code/fail/wrong_1_434.py#4:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'search' is not defined"",)",bare execution,,,,,0,0,refactory,Not executable
4515,benchmark/refactory/data/question_1/code/fail/wrong_1_434.py#5:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'search' is not defined"",)",bare execution,,,,,0,0,refactory,Not executable
4516,benchmark/refactory/data/question_1/code/fail/wrong_1_434.py#6:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'search' is not defined"",)",bare execution,,,,,0,0,refactory,Not executable
4517,benchmark/refactory/data/question_1/code/fail/wrong_1_434.py#7:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'search' is not defined"",)",bare execution,,,,,0,0,refactory,Not executable
4518,benchmark/refactory/data/question_1/code/fail/wrong_1_434.py#8:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'search' is not defined"",)",bare execution,,,,,0,0,refactory,Not executable
4519,benchmark/refactory/data/question_1/code/fail/wrong_1_434.py#9:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'search' is not defined"",)",bare execution,,,,,0,0,refactory,Not executable
4520,benchmark/refactory/data/question_1/code/fail/wrong_1_434.py#10:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'search' is not defined"",)",bare execution,,,,,0,0,refactory,Not executable
4552,benchmark/refactory/data/question_1/code/wrong/wrong_1_002.py#9:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'i' referenced before assignment"",)",bare execution,,,,,0,0,refactory,Not executable
4553,benchmark/refactory/data/question_1/code/wrong/wrong_1_002.py#10:,,,,,,,,,,,,,,,,,,,"<class 'UnboundLocalError'>(""local variable 'i' referenced before assignment"",)",bare execution,,,,,0,0,refactory,Not executable
4574,benchmark/refactory/data/question_1/code/wrong/wrong_1_004.py#9:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,1,1,refactory,Not executable
4575,benchmark/refactory/data/question_1/code/wrong/wrong_1_004.py#10:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('tuple index out of range',)",bare execution,,,,,1,1,refactory,Not executable
4585,benchmark/refactory/data/question_1/code/wrong/wrong_1_005.py#9:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,1,1,refactory,Not executable
4593,benchmark/refactory/data/question_1/code/wrong/wrong_1_395.py#6:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('tuple index out of range',)",bare execution,,,,,0,0,refactory,Not executable
4684,benchmark/refactory/data/question_1/code/wrong/wrong_1_014.py#9:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,refactory,Not executable
4685,benchmark/refactory/data/question_1/code/wrong/wrong_1_014.py#10:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('tuple index out of range',)",bare execution,,,,,0,0,refactory,Not executable
4695,benchmark/refactory/data/question_1/code/wrong/wrong_1_015.py#9:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,refactory,Not executable
4696,benchmark/refactory/data/question_1/code/wrong/wrong_1_015.py#10:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('tuple index out of range',)",bare execution,,,,,0,0,refactory,Not executable
4706,benchmark/refactory/data/question_1/code/wrong/wrong_1_016.py#9:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,refactory,Not executable
4707,benchmark/refactory/data/question_1/code/wrong/wrong_1_016.py#10:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('tuple index out of range',)",bare execution,,,,,0,0,refactory,Not executable
4717,benchmark/refactory/data/question_1/code/wrong/wrong_1_017.py#9:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,refactory,Not executable
4718,benchmark/refactory/data/question_1/code/wrong/wrong_1_017.py#10:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('tuple index out of range',)",bare execution,,,,,0,0,refactory,Not executable
4728,benchmark/refactory/data/question_1/code/wrong/wrong_1_018.py#9:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('list index out of range',)",bare execution,,,,,0,0,refactory,Not executable
4729,benchmark/refactory/data/question_1/code/wrong/wrong_1_018.py#10:,,,,,,,,,,,,,,,,,,,"<class 'IndexError'>('tuple index out of range',)",bare execution,,,,,0,0,refactory,Not executable
