,test_name,code_len,dumb_dyn_slice,dyn_slice,pruned_slice,dumb_dyn_slice_len,pruned_slice_len,dyn_slice_len,runtime_bare_test,runtime_tracing_augmented_test,runtime_dyn_slice,runtime_pruned_slice,perf_runtime_bare_test,perf_runtime_tracing_augmented_test,perf_runtime_dyn_slice,perf_runtime_pruned_slice,len_exec_trace,test_result,sliced_result_equal_to_bare,exception,stage,num_boolops_pruned_sliced,num_lines_with_boolops_pruned_sliced,num_boolops_dyn_sliced,num_lines_with_boolops_dyn_sliced,num_boolops,num_lines_with_boolops,benchmark,test_status
27262,benchmark/refactory/data/question_5/code/correct/correct_5_128.py#0:,31.0,"{1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31}","{1, 30, 31}","{1, 30, 31}",29.0,3.0,3.0,1.3789600052405148e-05,0.0042995353999685,0.0014843653500065,0.0014196636999258,0.0002500139999028,0.0049734050007828,0.0014149569997243,0.0014102080003794,650.0,True,False,,finished,0.0,0.0,0.0,0.0,1,1,refactory,Sliced code result differs from original
27263,benchmark/refactory/data/question_5/code/correct/correct_5_128.py#1:,31.0,"{1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31}","{1, 30, 31}","{1, 30, 31}",29.0,3.0,3.0,1.292449996981304e-05,0.0041817139999693,0.0014361378000103,0.0014361092499711,0.0002206600001954,0.0044198780014994,0.0014299960002972,0.0014395430007425,655.0,True,False,,finished,0.0,0.0,0.0,0.0,1,1,refactory,Sliced code result differs from original
27264,benchmark/refactory/data/question_5/code/correct/correct_5_128.py#2:,31.0,"{1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31}","{1, 30, 31}","{1, 30, 31}",29.0,3.0,3.0,7.992849987203954e-06,0.0028451166500417,0.0008552276000045,0.0008473038499687,0.000208997998925,0.0031555490004393,0.0008444780014542,0.0008429749996139,395.0,True,False,,finished,0.0,0.0,0.0,0.0,1,1,refactory,Sliced code result differs from original
27265,benchmark/refactory/data/question_5/code/correct/correct_5_128.py#3:,31.0,"{1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31}","{1, 30, 31}","{1, 30, 31}",29.0,3.0,3.0,8.156649982993258e-06,0.0028250364500308,0.0008586293500229,0.00085340024998,0.0002114830003847,0.0031010479997348,0.0008500479998474,0.0008489669999107,395.0,True,False,,finished,0.0,0.0,0.0,0.0,1,1,refactory,Sliced code result differs from original
27477,benchmark/refactory/data/question_5/code/correct/correct_5_192.py#0:,14.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14}","{11, 13, 14}","{11, 13, 14}",13.0,3.0,3.0,4.2474000110814815e-06,0.0009588748499481,0.0003835423000055,0.0003799516500293,0.0001463219996367,0.0010644070007401,0.0003808970013778,0.000378542999897,217.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
27478,benchmark/refactory/data/question_5/code/correct/correct_5_192.py#1:,14.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14}","{11, 13, 14}","{11, 13, 14}",13.0,3.0,3.0,5.4516000091098246e-06,0.0012103268000828,0.000544891500067,0.0005414315000052,0.0001463720000174,0.0014306270004453,0.0005357749996619,0.0008268550009233,317.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
27479,benchmark/refactory/data/question_5/code/correct/correct_5_192.py#2:,14.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14}","{11, 13, 14}","{11, 13, 14}",13.0,3.0,3.0,4.471299962460762e-06,0.0009710704500321,0.0003870017500048,0.0003902987999936,0.0001445180005248,0.0010629040007188,0.0003901250001945,0.0003901039999618,223.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
27480,benchmark/refactory/data/question_5/code/correct/correct_5_192.py#3:,14.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14}","{11, 13, 14}","{11, 13, 14}",13.0,3.0,3.0,4.261900085111847e-06,0.0009626658499655,0.0003856371999972,0.000388401300006,0.0001420539992977,0.0010725620013545,0.0003870689997711,0.0003899839994119,223.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
27982,benchmark/refactory/data/question_5/code/correct/correct_5_416.py#0:,19.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19}","{16, 17, 18, 19, 13, 15}","{16, 17, 18, 19, 13, 15}",17.0,6.0,6.0,5.221199990046443e-06,0.0012390655499984,0.0006426009000279,0.0006437695500608,0.0001626120010769,0.0014784569993935,0.0006393570001819,0.0008809770006337,268.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
27983,benchmark/refactory/data/question_5/code/correct/correct_5_416.py#1:,19.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19}","{16, 17, 18, 19, 13, 15}","{16, 17, 18, 19, 13, 15}",17.0,6.0,6.0,6.999000015639468e-06,0.0015136748499571,0.0009509187500043,0.0009488879500167,0.0001792130005924,0.0017564539994054,0.0011435650012572,0.0009416800003236,380.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
27984,benchmark/refactory/data/question_5/code/correct/correct_5_416.py#2:,19.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19}","{16, 17, 18, 19, 13, 15}","{16, 17, 18, 19, 13, 15}",17.0,6.0,6.0,5.817800047225319e-06,0.0012814939499548,0.0007558664000498,0.000755277799999,0.0001546380008221,0.0015998519993445,0.0007466979986929,0.0007479690011678,284.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
27985,benchmark/refactory/data/question_5/code/correct/correct_5_416.py#3:,19.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19}","{16, 17, 18, 19, 13, 15}","{16, 17, 18, 19, 13, 15}",17.0,6.0,6.0,5.652499930874911e-06,0.0012606918000528,0.0007221271499474,0.0006906928000717,0.0001569310006743,0.0014618660006817,0.0007006819996604,0.0007225219997053,272.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
