,test_name,code_len,dumb_dyn_slice,dyn_slice,pruned_slice,dumb_dyn_slice_len,pruned_slice_len,dyn_slice_len,runtime_bare_test,runtime_tracing_augmented_test,runtime_dyn_slice,runtime_pruned_slice,perf_runtime_bare_test,perf_runtime_tracing_augmented_test,perf_runtime_dyn_slice,perf_runtime_pruned_slice,len_exec_trace,test_result,sliced_result_equal_to_bare,exception,stage,num_boolops_pruned_sliced,num_lines_with_boolops_pruned_sliced,num_boolops_dyn_sliced,num_lines_with_boolops_dyn_sliced,num_boolops,num_lines_with_boolops,benchmark,test_status
24178,benchmark/refactory/data/question_4/code/correct/correct_4_210.py#3:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24179,benchmark/refactory/data/question_4/code/correct/correct_4_210.py#4:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24180,benchmark/refactory/data/question_4/code/correct/correct_4_210.py#5:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24181,benchmark/refactory/data/question_4/code/correct/correct_4_311.py#0:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24182,benchmark/refactory/data/question_4/code/correct/correct_4_311.py#1:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24183,benchmark/refactory/data/question_4/code/correct/correct_4_311.py#2:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24184,benchmark/refactory/data/question_4/code/correct/correct_4_311.py#3:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24185,benchmark/refactory/data/question_4/code/correct/correct_4_311.py#4:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24186,benchmark/refactory/data/question_4/code/correct/correct_4_311.py#5:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
24187,benchmark/refactory/data/question_4/code/correct/correct_4_373.py#0:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),run sliced,,,,,0,0,refactory,Timeout during sliced code execution
